y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals
Y28,0.9999546021300917,2.1683507524177113e-06,0.0,27
Y605,0.2728742187689461,2.1683507524177113e-06,1.2342333098819392e-17,327
Y2,0.11037485348858757,2.1683507524177113e-06,4.243237380524261e-06,55
Y702,0.9093188409024415,2.1683507524177113e-06,2.263810537343297e-06,613
Y22,0.20218133208658215,2.1683507524177113e-06,1.452703437433814e-06,27
Y595,0.6797682177803515,2.1683507524177113e-06,1.114043720127034e-10,327
Y1282,4.5397870662530495e-05,2.1683507524177113e-06,3.120621813256935e-09,42
Y1316,4.5397870662530495e-05,2.1683507524177113e-06,3.63159467454637e-07,40
Y1288,4.5397870662530495e-05,2.1683507524177113e-06,4.628842411128204e-10,47
Y141,0.045819164033189475,2.1683507524177113e-06,1.1429430000152902e-07,71
Y136,0.0979687470734522,2.1683507524177113e-06,6.145130997328634e-08,71
Y571,0.20451475927111276,2.1683507524177113e-06,1.8715134521812768e-06,327
Y637,0.6400518722588452,2.1683507524177113e-06,1.7764832911282648e-06,327
Y270,0.024827668822323373,2.1683507524177113e-06,3.520401727590398e-06,70
Y83,4.539787066253049e-05,2.1683507524177113e-06,2.087904384256111e-07,55
Y294,0.49337402669577735,2.168538838530598e-06,7.823961652961875e-06,59
Y377,4.5397870662530495e-05,2.1683507524177113e-06,9.539476136625402e-07,34
Y89,0.08744406105820779,2.1683507524177113e-06,1.3879019140482976e-06,55
Y67,4.5397870662530495e-05,2.1683507524177113e-06,3.5523945531067745e-06,27
Y10,4.5397870662530495e-05,2.1683507524177113e-06,1.1234472007115511e-05,55
Y730,0.009266994889869267,2.1683507524177113e-06,4.3092970111856085e-06,56
Y747,0.15681691176338622,2.1683507524177113e-06,2.2074807134849232e-06,56
Y549,0.4966655281341075,2.1683507524177113e-06,1.820008080668975e-07,327
Y534,4.5397870662530495e-05,2.1683507524177113e-06,4.630618119976867e-06,336
Y543,0.718386281576609,2.1683507524177113e-06,1.506679162542605e-07,327
Y104,4.5397870662530495e-05,2.1683507524177113e-06,1.3025167820371187e-09,48
Y356,4.5397870662530495e-05,2.1683507524177113e-06,8.090913028674049e-06,34
Y616,0.857413638461864,2.1683507524177113e-06,2.304614722129515e-06,327
Y562,0.8216771528484456,2.1683507524177113e-06,2.216101897123203e-08,327
Y125,0.3701887066981178,2.1683507524177113e-06,2.0237708230923303e-07,95
Y1275,4.5397870662530495e-05,2.1683507524177113e-06,8.417843474945804e-10,47
Y1291,4.5397870662530495e-05,2.1683507524177113e-06,9.77260394764006e-07,47
Y568,0.8589446049841505,2.1683507524177113e-06,8.255351245508588e-06,327
Y586,0.783983468679897,2.1683507524177113e-06,4.784706956254105e-06,327
Y723,4.53978706625305e-05,2.1683507524177113e-06,2.59350218077668e-13,57
Y269,0.05987783239837458,2.1683507524177113e-06,4.344060357360218e-06,70
Y287,4.53978706625305e-05,2.1683507524177113e-06,6.75900355019416e-06,70
Y364,4.5397870662530495e-05,2.168444791395611e-06,1.3635950424584354e-07,33
Y74,0.27358931486103233,2.1683507524177113e-06,7.247318535479092e-06,25
Y380,0.1123140836493686,2.1683507524177113e-06,7.542445697596769e-06,35
Y90,0.2795594036346679,2.1683507524177113e-06,9.559531372366838e-06,25
Y624,0.8173588712091394,2.1683507524177113e-06,5.378110961787886e-06,327
Y729,4.5397870662530495e-05,2.1683507524177113e-06,5.27238616725857e-07,57
