y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y703,0.906674252568475,2.1683507524177117e-06,2.1527520396125024e-06,620,23
Y604,0.3955456560587634,2.1683507524177117e-06,9.533431714824659e-11,327,0
Y29,0.1936883916934868,2.1683507524177117e-06,5.023757856454393e-09,51,0
Y570,0.913934091131274,2.1683507524177117e-06,3.629272052505976e-06,327,28
Y1289,4.5397870662530495e-05,2.1683507524177117e-06,2.044236127124728e-12,47,0
Y137,0.0524053543740923,2.1683507524177117e-06,5.027576017895339e-06,92,2
Y1267,4.5397870662530495e-05,2.1683507524177117e-06,4.051255435797403e-12,42,0
Y140,0.1588727439951991,2.1683507524177117e-06,1.5826307151525754e-06,95,7
Y1283,4.5397870662530495e-05,2.1683507524177117e-06,4.596935565590615e-09,42,0
Y1317,4.5397870662530495e-05,2.1683507524177117e-06,4.683232314918083e-06,41,0
Y594,0.7698644159165123,2.1683507524177117e-06,3.995069475465393e-07,327,5
Y746,0.0961040175546252,2.1683507524177117e-06,2.5680826739516617e-07,57,0
Y731,4.53978706625305e-05,2.1683507524177117e-06,5.239549662404856e-06,56,0
Y376,0.8791497475833097,2.1683507524177117e-06,4.3064497361662656e-11,34,0
Y88,4.5397870662530495e-05,2.1683507524177117e-06,7.035815592149556e-06,26,0
Y11,4.5397870662530495e-05,2.1683507524177117e-06,4.990408731520958e-07,54,4
Y66,4.5397870662530495e-05,2.1683507524177117e-06,6.471241598985269e-06,26,0
Y392,0.5551244979656406,2.1683507524177117e-06,6.884229567956114e-06,281,3
Y271,0.009671742227064,2.1683507524177117e-06,1.3223539161545782e-10,70,0
Y82,4.5397870662530495e-05,2.168444791395611e-06,1.5479889727565264e-08,41,0
Y636,0.5766921874259618,2.1683507524177117e-06,2.7889952082816138e-06,327,1
Y105,0.4799709545290532,2.1683507524177117e-06,5.6735383349487975e-06,27,0
Y542,0.6892320652176964,2.1683507524177117e-06,1.877504874834448e-07,327,4
Y535,4.5397870662530495e-05,2.1683507524177117e-06,5.112413260671812e-06,337,0
Y548,0.6600499135749133,2.1683507524177117e-06,2.520180343903822e-06,327,0
Y632,0.8860094173865132,2.1683507524177117e-06,1.6563220115748148e-06,324,26
Y748,4.5397870662530495e-05,2.1683507524177117e-06,5.166529226984426e-06,190,0
Y68,0.0223279386904426,2.1683507524177117e-06,4.472999495314777e-06,26,0
Y275,4.5397870662530495e-05,2.1683507524177117e-06,6.202492027254114e-06,70,0
Y378,0.9149459997991192,2.1683507524177117e-06,1.312189540295572e-14,34,0
Y15,0.0331104678454577,2.1683507524177117e-06,5.648285009604959e-07,29,0
Y372,4.5397870662530495e-05,2.1683507524177117e-06,2.0653325032229373e-08,34,1
Y291,4.5397870662530495e-05,2.1691032926987986e-06,2.0617699203153474e-06,35,0
Y638,0.6807793227944401,2.1683507524177117e-06,4.229011118543024e-06,327,3
Y742,4.5397870662530495e-05,2.1683507524177117e-06,4.997791744402731e-06,56,0
Y735,0.0091805198628392,2.1683507524177117e-06,6.417262538507257e-06,57,0
Y546,0.7890781633531859,2.1683507524177117e-06,1.5378163669167554e-06,327,6
Y531,4.5397870662530495e-05,2.1683507524177117e-06,1.954520899047535e-06,337,0
Y101,0.3971838415740975,2.1683507524177117e-06,1.7866055629985063e-05,27,1
Y7,0.8105038529600513,2.1683507524177117e-06,1.1512213455873184e-08,25,0
Y600,0.7607010473246483,2.1683507524177117e-06,3.2836421901296707e-06,327,1
Y699,4.5397870662530495e-05,2.1683507524177117e-06,3.7662605280979177e-06,139,0
Y707,0.0125104070961282,2.1683507524177117e-06,6.558974602214875e-06,436,0
Y50,4.5397870662530495e-05,2.1683507524177117e-06,1.5706037585175632e-09,29,0
Y27,4.5397870662530495e-05,2.1683507524177117e-06,4.901307854137298e-06,29,0
Y590,0.3742550042722867,2.1683507524177117e-06,3.262007417879227e-09,327,4
Y1269,4.539787066253049e-05,2.1683507524177117e-06,2.4670736073247303e-12,42,1
Y139,0.0236950010450662,2.1683507524177117e-06,3.707784413619484e-06,80,0
Y1313,0.2032645758264159,2.1683507524177117e-06,5.070932421445087e-06,41,0
Y1287,4.5397870662530495e-05,2.1683507524177117e-06,1.998485696568614e-06,42,0
Y133,4.5397870662530495e-05,2.1683507524177117e-06,2.7806493576184902e-06,78,0
Y574,0.5195770452178615,2.1683507524177117e-06,1.3639477628653691e-06,327,4
Y751,0.0134200963768588,2.1683507524177117e-06,1.1568884947420923e-09,149,0
Y726,0.0081971080953978,2.1683507524177117e-06,1.0920246556627145e-13,57,0
Y71,4.5397870662530495e-05,2.1683507524177117e-06,7.07940458005828e-08,27,0
Y361,4.5397870662530495e-05,2.168444791395611e-06,5.330275460789316e-06,33,0
Y316,0.6491597460523992,2.168915108662647e-06,1.7071705826843753e-06,36,2
Y282,4.5397870662530495e-05,2.1683507524177117e-06,1.945134407965763e-07,70,0
Y95,4.53978706625305e-05,2.1683507524177117e-06,2.218172798902914e-06,27,0
Y385,0.0550051269779374,2.1683507524177117e-06,7.772039906284044e-07,35,0
Y621,0.8730887856708105,2.1683507524177117e-06,4.125942454937209e-06,327,8
Y112,0.0128915910030152,2.1683507524177117e-06,2.5069589683784167e-06,95,0
Y555,0.7929306885090147,2.1683507524177117e-06,4.06569858627563e-06,327,5
Y522,4.5397870662530495e-05,2.1683507524177117e-06,1.8961056258805243e-06,337,1
Y528,0.0023237773019777,2.1683507524177117e-06,2.825242611439229e-06,337,1
Y118,0.0032698546550851,2.1683507524177117e-06,9.234061012615869e-09,95,2
Y353,0.0787769132758889,2.1683507524177117e-06,4.115975663932557e-06,34,0
Y43,4.539787066253049e-05,2.1683507524177117e-06,6.428494994409234e-08,26,0
Y34,4.5397870662530495e-05,2.1683507524177117e-06,6.066386622364556e-08,53,0
Y619,0.7767295823692358,2.1683507524177117e-06,2.730410417681192e-06,327,8
Y613,0.8267291110318751,2.1683507524177117e-06,1.2553784123325736e-06,327,9
Y359,0.0945153437196659,2.1683507524177117e-06,3.4392086316934787e-06,34,0
Y589,0.8185704266812563,2.1683507524177117e-06,3.2787479332661888e-06,327,2
Y567,0.9259315390280404,2.1683507524177117e-06,6.444476787977594e-07,327,21
Y1270,0.2329764149841048,2.1683507524177117e-06,1.2379845463056914e-07,42,0
Y120,4.5397870662530495e-05,2.1683507524177117e-06,1.3850923310432943e-06,71,0
Y1294,4.539787066253049e-05,2.1683507524177117e-06,1.6076213733111213e-07,47,0
Y583,0.0056132305654123,2.1683507524177117e-06,1.1638342715913276e-14,327,0
Y560,0.6011671853306437,2.1683507524177117e-06,4.784729752862361e-07,327,4
Y127,0.275421887378235,2.1683507524177117e-06,7.468938730640718e-06,88,1
Y1277,4.5397870662530495e-05,2.1683507524177117e-06,2.329805517613862e-06,47,0
