y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y543,0.718386281576609,2.168350752417712e-06,1.506679162542605e-07,327,2
Y616,0.857413638461864,2.168350752417712e-06,2.304614722129515e-06,327,11
Y562,0.8216771528484456,2.168350752417712e-06,2.2161018971232037e-08,327,0
Y125,0.3701887066981178,2.168350752417712e-06,2.0237708230923306e-07,95,3
Y568,0.8589446049841505,2.168350752417712e-06,8.255351245508588e-06,327,7
Y586,0.783983468679897,2.168350752417712e-06,4.784706956254105e-06,327,9
Y74,0.2735893148610323,2.168350752417712e-06,7.247318535479092e-06,25,0
Y90,0.2795594036346679,2.168350752417712e-06,9.559531372366838e-06,25,0
Y624,0.8173588712091394,2.168350752417712e-06,5.378110961787886e-06,327,6
Y550,0.6182510287640607,2.168350752417712e-06,1.5190242355619696e-06,327,6
Y110,0.3972379466698644,2.168350752417712e-06,6.910499304747699e-06,87,3
Y557,0.6498122286143253,2.168350752417712e-06,2.0318382142407572e-14,327,0
Y753,0.2244609352218832,2.168350752417712e-06,1.6226943105084657e-06,149,1
Y629,0.7901469736381744,2.168350752417712e-06,1.7667643855244538e-06,325,5
Y623,0.7416959240177126,2.168350752417712e-06,3.868659680336063e-06,327,3
Y565,0.8057808490055951,2.168350752417712e-06,1.1951129127578584e-06,327,4
Y128,0.2360090101906327,2.168350752417712e-06,4.876456335663207e-06,94,0
Y581,0.632120749875577,2.168350752417712e-06,9.049511656426792e-07,327,0
Y326,0.5115807417432114,2.168915108662647e-06,2.859903854572103e-06,36,1
Y611,0.5547664997696935,2.168350752417712e-06,1.964958443839449e-06,327,7
Y544,0.6657390807074688,2.168350752417712e-06,1.1749278063949715e-06,327,3
Y103,0.3499677990119522,2.168350752417712e-06,4.841094066336636e-08,55,0
Y630,0.8545006281478458,2.168350752417712e-06,1.880498832651458e-06,327,14
Y592,0.736057555335446,2.168350752417712e-06,4.035713402921128e-09,327,2
Y1311,0.2289161169577389,2.168350752417712e-06,4.398447539727486e-06,41,0
Y131,0.2412262553986496,2.168350752417712e-06,6.7652894053606665e-06,94,1
Y576,0.593011319152576,2.168350752417712e-06,4.9595034007277065e-06,327,5
Y598,0.7832663121090975,2.168350752417712e-06,5.005665381726858e-06,327,1
Y602,0.8520527195552743,2.168350752417712e-06,1.1888139498822154e-06,327,1
Y608,0.3634437940476235,2.168350752417712e-06,3.775130085712657e-08,327,1
Y705,0.7292620469894604,2.168350752417712e-06,7.236533419276943e-08,604,13
Y572,0.8366887908960412,2.168350752417712e-06,2.4600904095774747e-06,326,5
Y1281,0.6608542819392886,2.168350752417712e-06,5.760480121011149e-10,42,0
Y596,0.8433469708862948,2.168350752417712e-06,1.260997374818136e-06,327,5
Y578,0.4968599879855023,2.168350752417712e-06,1.7549204276130617e-06,327,2
Y21,0.4715999910843717,2.168350752417712e-06,1.5671164237113425e-06,55,0
Y701,0.9004915755080728,2.168350752417712e-06,4.329226658940999e-06,618,32
Y606,0.2665677356268348,2.168350752417712e-06,1.8731749136979023e-11,327,0
Y13,0.3619272601831529,2.168350752417712e-06,1.2838882086800212e-06,27,0
Y374,0.6892993848531657,2.168350752417712e-06,2.6709932658791787e-10,34,0
Y279,0.3620752717969179,2.168350752417712e-06,1.2017595501428312e-08,70,0
Y390,0.208306004342445,2.168350752417712e-06,1.8903029996625378e-08,281,2
Y634,0.7526378937854381,2.168350752417712e-06,2.361700530079459e-06,327,1
Y585,0.6959325731335786,2.168350752417712e-06,7.224603408141849e-06,327,7
Y126,0.5455673872246015,2.168350752417712e-06,9.340974524712248e-07,71,3
Y561,0.3662573608488774,2.168350752417712e-06,9.029940748232805e-14,327,0
Y615,0.7530952398586775,2.168350752417712e-06,1.2311527894471205e-19,327,0
Y559,0.8410910188522372,2.168350752417712e-06,3.903822911449406e-06,327,8
Y553,0.7944876997673939,2.168350752417712e-06,3.6180084938251695e-06,327,10
Y627,0.8429219102113509,2.168350752417712e-06,5.420754939634971e-06,327,5
Y620,0.861302410286445,2.168350752417712e-06,1.2864438542144644e-06,327,8
Y119,0.3813396383325858,2.168350752417712e-06,1.5166869977974669e-06,95,9
Y554,0.8278075004920701,2.168350752417712e-06,9.08017694250086e-06,327,4
Y612,0.6666380171525943,2.168350752417712e-06,3.29376615840801e-06,327,7
Y618,0.8461359488532042,2.168350752417712e-06,1.0792751534870653e-06,327,4
Y325,0.4383862063241006,2.168915108662647e-06,4.564429209041594e-06,36,0
Y121,0.2024349850458491,2.168350752417712e-06,2.972523481227473e-07,95,5
Y588,0.7610850341853013,2.168350752417712e-06,2.1657837403171726e-07,327,2
Y566,0.7560214653585607,2.168350752417712e-06,4.083186888716213e-06,327,5
Y639,0.7493103436147622,2.168350752417712e-06,2.456423177952736e-06,327,2
Y633,0.8291629179344813,2.168350752417712e-06,1.2867459354957927e-06,320,12
Y547,0.791187877748337,2.168350752417712e-06,1.0980213318507109e-06,327,2
Y601,0.8378508457247145,2.168350752417712e-06,2.610525296852892e-06,327,2
Y575,0.8137735130230237,2.168350752417712e-06,2.1915144785799693e-06,327,4
Y132,0.5362154739666175,2.168350752417712e-06,1.010857216482088e-06,71,3
Y1268,0.438388286380131,2.168350752417712e-06,8.859657066774641e-10,42,0
Y591,0.258232794836689,2.168350752417712e-06,1.540050752380422e-06,327,4
